time,cwnd,ssthresh,phase,event
1786001343.195051,20,80,SLOW_START,init
1786001344.7244115,20,40,SLOW_START,timeout
1786001347.7370014,20,40,SLOW_START,timeout
1786001347.7434876,40,40,SLOW_START,acked
1786001347.7489548,60,40,CONGESTION_AVOIDANCE,acked
1786001347.7532754,80,40,CONGESTION_AVOIDANCE,acked
1786001347.7569008,100,40,CONGESTION_AVOIDANCE,acked
1786001347.7594945,120,40,CONGESTION_AVOIDANCE,acked
1786001347.7622414,140,40,CONGESTION_AVOIDANCE,acked
1786001348.1737068,20,70,SLOW_START,timeout
1786001348.1781776,40,70,SLOW_START,acked
1786001348.581859,20,40,SLOW_START,timeout
1786001348.5859978,40,40,SLOW_START,acked
1786001349.0011382,20,40,SLOW_START,timeout
1786001349.0070357,40,40,SLOW_START,acked
1786001349.4143667,20,40,SLOW_START,timeout
1786001349.4176059,40,40,SLOW_START,acked
1786001349.8298304,20,40,SLOW_START,timeout
1786001350.6497343,20,40,SLOW_START,timeout
1786001350.6554787,40,40,SLOW_START,acked
1786001351.0665734,20,40,SLOW_START,timeout
1786001351.072002,40,40,SLOW_START,acked
1786001351.493347,20,40,SLOW_START,timeout
1786001352.309083,20,40,SLOW_START,timeout
1786001352.3149517,40,40,SLOW_START,acked
1786001352.721718,20,40,SLOW_START,timeout
1786001352.7264667,40,40,SLOW_START,acked
1786001353.138773,20,40,SLOW_START,timeout
1786001353.145972,40,40,SLOW_START,acked
1786001353.550722,20,40,SLOW_START,timeout
1786001354.3598778,20,40,SLOW_START,timeout
1786001354.363771,40,40,SLOW_START,acked
1786001354.7719603,20,40,SLOW_START,timeout
1786001354.7752004,40,40,SLOW_START,acked
1786001355.1845307,20,40,SLOW_START,timeout
1786001355.9971015,20,40,SLOW_START,timeout
1786001355.9994457,40,40,SLOW_START,acked
1786001356.3990235,20,40,SLOW_START,timeout
1786001356.4033422,40,40,SLOW_START,acked
1786001356.8130867,20,40,SLOW_START,timeout
1786001356.8178756,40,40,SLOW_START,acked
