time,cwnd,ssthresh,phase,event
1786148286.0278423,20,80,SLOW_START,init
1786148287.5386806,20,40,SLOW_START,timeout
1786148290.557268,20,40,SLOW_START,timeout
1786148290.562099,40,40,SLOW_START,acked
1786148290.5671666,60,40,CONGESTION_AVOIDANCE,acked
1786148290.9819763,20,40,SLOW_START,timeout
1786148290.9849675,40,40,SLOW_START,acked
1786148291.4089522,20,40,SLOW_START,timeout
1786148291.4154966,40,40,SLOW_START,acked
1786148291.8288178,20,40,SLOW_START,timeout
1786148292.6344047,20,40,SLOW_START,timeout
1786148294.2464943,20,40,SLOW_START,timeout
1786148294.2514093,40,40,SLOW_START,acked
1786148294.6568117,20,40,SLOW_START,timeout
1786148294.661143,40,40,SLOW_START,acked
1786148295.073892,20,40,SLOW_START,timeout
1786148295.0789087,40,40,SLOW_START,acked
1786148295.4835682,20,40,SLOW_START,timeout
1786148295.489851,40,40,SLOW_START,acked
1786148295.899048,20,40,SLOW_START,timeout
1786148295.9036703,40,40,SLOW_START,acked
1786148296.3142734,20,40,SLOW_START,timeout
1786148296.319672,40,40,SLOW_START,acked
1786148296.7340796,20,40,SLOW_START,timeout
1786148297.5446994,20,40,SLOW_START,timeout
1786148297.5532598,40,40,SLOW_START,acked
1786148297.96208,20,40,SLOW_START,timeout
1786148297.9688292,40,40,SLOW_START,acked
1786148298.3787792,20,40,SLOW_START,timeout
1786148298.3838809,40,40,SLOW_START,acked
1786148298.7990267,20,40,SLOW_START,timeout
1786148298.81289,40,40,SLOW_START,acked
1786148299.2299144,20,40,SLOW_START,timeout
1786148299.235848,40,40,SLOW_START,acked
