time,cwnd,ssthresh,phase,event
1786236465.64994,20,80,SLOW_START,init
1786236465.6535919,40,80,SLOW_START,acked
1786236465.656814,80,80,SLOW_START,acked
1786236465.6586106,100,80,CONGESTION_AVOIDANCE,acked
1786236465.660188,120,80,CONGESTION_AVOIDANCE,acked
1786236465.6615396,140,80,CONGESTION_AVOIDANCE,acked
1786236465.6629725,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6644175,160,80,CONGESTION_AVOIDANCE,acked
1786236465.665899,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6670089,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6684356,160,80,CONGESTION_AVOIDANCE,acked
1786236465.669665,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6716013,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6726665,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6740148,160,80,CONGESTION_AVOIDANCE,acked
1786236465.6753738,160,80,CONGESTION_AVOIDANCE,acked
